"","Area","TerritoryID","Year","breeding_attempt","breeding_success","chicks"
"1",1,1,1991,1,2,3
"2",1,2,1991,0,0,0
"3",1,3,1991,1,2,3
"4",1,4,1991,1,2,1
"5",1,5,1991,1,2,3
"6",1,6,1991,0,0,0
"7",1,7,1991,0,0,0
"8",1,8,1991,0,0,0
"9",1,9,1991,0,0,0
"10",1,10,1991,NA,NA,NA
"11",1,11,1991,0,0,0
"12",1,12,1991,1,2,1
"13",1,1,1992,1,2,4
"14",1,2,1992,0,0,0
"15",1,3,1992,1,1,0
"16",1,4,1992,0,0,0
"17",1,5,1992,1,2,2
"18",1,6,1992,0,0,0
"19",1,7,1992,0,0,0
"20",1,8,1992,0,0,0
"21",1,9,1992,0,0,0
"22",1,10,1992,NA,NA,NA
"23",1,11,1992,1,2,3
"24",1,12,1992,0,0,0
"25",1,1,1993,1,2,2
"26",1,2,1993,1,2,1
"27",1,3,1993,1,2,2
"28",1,4,1993,0,0,0
"29",1,5,1993,1,2,3
"30",1,6,1993,1,2,1
"31",1,7,1993,0,0,0
"32",1,8,1993,0,0,0
"33",1,9,1993,0,0,0
"34",1,10,1993,1,2,2
"35",1,11,1993,1,1,0
"36",1,12,1993,1,1,0
"37",1,1,1994,1,2,3
"38",1,2,1994,0,0,0
"39",1,3,1994,0,0,0
"40",1,4,1994,0,0,0
"41",1,5,1994,1,2,4
"42",1,6,1994,1,2,1
"43",1,7,1994,0,0,0
"44",1,8,1994,0,0,0
"45",1,9,1994,1,2,1
"46",1,10,1994,1,2,1
"47",1,11,1994,1,2,2
"48",1,12,1994,1,2,1
"49",1,1,1995,0,0,0
"50",1,2,1995,1,2,2
"51",1,3,1995,0,0,0
"52",1,4,1995,0,0,0
"53",1,5,1995,1,2,4
"54",1,6,1995,0,0,0
"55",1,7,1995,0,0,0
"56",1,8,1995,1,2,2
"57",1,9,1995,0,0,0
"58",1,10,1995,1,2,3
"59",1,11,1995,1,2,1
"60",1,12,1995,1,2,3
"61",1,1,1996,1,2,3
"62",1,2,1996,0,0,0
"63",1,3,1996,0,0,0
"64",1,4,1996,0,0,0
"65",1,5,1996,1,2,3
"66",1,6,1996,0,0,0
"67",1,7,1996,0,0,0
"68",1,8,1996,0,0,0
"69",1,9,1996,0,0,0
"70",1,10,1996,1,2,3
"71",1,11,1996,1,1,0
"72",1,12,1996,0,0,0
"73",1,1,1997,1,2,2
"74",1,2,1997,0,0,0
"75",1,3,1997,0,0,0
"76",1,4,1997,0,0,0
"77",1,5,1997,1,2,4
"78",1,6,1997,0,0,0
"79",1,7,1997,0,0,0
"80",1,8,1997,0,0,0
"81",1,9,1997,0,0,0
"82",1,10,1997,0,0,0
"83",1,11,1997,1,2,2
"84",1,12,1997,1,2,1
"85",1,1,1998,1,2,4
"86",1,2,1998,0,0,0
"87",1,3,1998,0,0,0
"88",1,4,1998,0,0,0
"89",1,5,1998,1,2,3
"90",1,6,1998,0,0,0
"91",1,7,1998,0,0,0
"92",1,8,1998,0,0,0
"93",1,9,1998,1,2,1
"94",1,10,1998,1,2,2
"95",1,11,1998,1,2,2
"96",1,12,1998,1,2,2
"97",1,1,1999,0,0,0
"98",1,2,1999,0,0,0
"99",1,3,1999,0,0,0
"100",1,4,1999,0,0,0
"101",1,5,1999,1,2,4
"102",1,6,1999,0,0,0
"103",1,7,1999,0,0,0
"104",1,8,1999,1,2,1
"105",1,9,1999,1,2,1
"106",1,10,1999,1,2,2
"107",1,11,1999,1,2,3
"108",1,12,1999,1,2,2
"109",1,1,2000,0,0,0
"110",1,2,2000,0,0,0
"111",1,3,2000,0,0,0
"112",1,4,2000,0,0,0
"113",1,5,2000,0,0,0
"114",1,6,2000,0,0,0
"115",1,7,2000,0,0,0
"116",1,8,2000,1,2,2
"117",1,9,2000,0,0,0
"118",1,10,2000,0,0,0
"119",1,11,2000,0,0,0
"120",1,12,2000,1,2,3
"121",1,1,2001,0,0,0
"122",1,2,2001,0,0,0
"123",1,3,2001,0,0,0
"124",1,4,2001,0,0,0
"125",1,5,2001,1,2,3
"126",1,6,2001,0,0,0
"127",1,7,2001,0,0,0
"128",1,8,2001,0,0,0
"129",1,9,2001,0,0,0
"130",1,10,2001,0,0,0
"131",1,11,2001,0,0,0
"132",1,12,2001,1,2,3
"133",1,1,2002,1,2,2
"134",1,2,2002,0,0,0
"135",1,3,2002,1,1,0
"136",1,4,2002,0,0,0
"137",1,5,2002,1,2,3
"138",1,6,2002,0,0,0
"139",1,7,2002,1,2,2
"140",1,8,2002,0,0,0
"141",1,9,2002,0,0,0
"142",1,10,2002,0,0,0
"143",1,11,2002,0,0,0
"144",1,12,2002,0,0,0
"145",1,1,2003,1,1,0
"146",1,2,2003,0,0,0
"147",1,3,2003,1,2,4
"148",1,4,2003,0,0,0
"149",1,5,2003,0,0,0
"150",1,6,2003,0,0,0
"151",1,7,2003,0,0,0
"152",1,8,2003,0,0,0
"153",1,9,2003,0,0,0
"154",1,10,2003,0,0,0
"155",1,11,2003,0,0,0
"156",1,12,2003,0,0,0
"157",1,1,2004,1,2,2
"158",1,2,2004,0,0,0
"159",1,3,2004,0,0,0
"160",1,4,2004,1,2,2
"161",1,5,2004,1,2,3
"162",1,6,2004,0,0,0
"163",1,7,2004,0,0,0
"164",1,8,2004,0,0,0
"165",1,9,2004,0,0,0
"166",1,10,2004,0,0,0
"167",1,11,2004,0,0,0
"168",1,12,2004,1,2,1
"169",1,1,2005,1,1,0
"170",1,2,2005,0,0,0
"171",1,3,2005,1,2,4
"172",1,4,2005,1,2,2
"173",1,5,2005,1,1,0
"174",1,6,2005,0,0,0
"175",1,7,2005,0,0,0
"176",1,8,2005,0,0,0
"177",1,9,2005,1,2,2
"178",1,10,2005,0,0,0
"179",1,11,2005,0,0,0
"180",1,12,2005,1,1,0
"181",1,1,2006,1,2,4
"182",1,2,2006,0,0,0
"183",1,3,2006,1,2,3
"184",1,4,2006,1,2,2
"185",1,5,2006,1,2,2
"186",1,6,2006,0,0,0
"187",1,7,2006,1,2,2
"188",1,8,2006,1,2,3
"189",1,9,2006,0,0,0
"190",1,10,2006,1,2,3
"191",1,11,2006,0,0,0
"192",1,12,2006,0,0,0
"193",1,1,2007,1,1,0
"194",1,2,2007,0,0,0
"195",1,3,2007,0,0,0
"196",1,4,2007,0,0,0
"197",1,5,2007,1,2,2
"198",1,6,2007,0,0,0
"199",1,7,2007,0,0,0
"200",1,8,2007,1,2,2
"201",1,9,2007,0,0,0
"202",1,10,2007,0,0,0
"203",1,11,2007,0,0,0
"204",1,12,2007,0,0,0
"205",1,1,2008,1,2,2
"206",1,2,2008,0,0,0
"207",1,3,2008,1,2,3
"208",1,4,2008,0,0,0
"209",1,5,2008,1,2,2
"210",1,6,2008,0,0,0
"211",1,7,2008,1,1,0
"212",1,8,2008,0,0,0
"213",1,9,2008,1,2,3
"214",1,10,2008,0,0,0
"215",1,11,2008,0,0,0
"216",1,12,2008,0,0,0
"217",1,1,2009,1,2,4
"218",1,2,2009,0,0,0
"219",1,3,2009,0,0,0
"220",1,4,2009,1,2,2
"221",1,5,2009,0,0,0
"222",1,6,2009,0,0,0
"223",1,7,2009,0,0,0
"224",1,8,2009,0,0,0
"225",1,9,2009,0,0,0
"226",1,10,2009,0,0,0
"227",1,11,2009,0,0,0
"228",1,12,2009,0,0,0
"229",1,1,2010,0,0,0
"230",1,2,2010,1,2,3
"231",1,3,2010,0,0,0
"232",1,4,2010,1,2,3
"233",1,5,2010,0,0,0
"234",1,6,2010,0,0,0
"235",1,7,2010,1,2,2
"236",1,8,2010,0,0,0
"237",1,9,2010,0,0,0
"238",1,10,2010,0,0,0
"239",1,11,2010,1,2,1
"240",1,12,2010,0,0,0
"241",1,1,2011,0,0,0
"242",1,2,2011,0,0,0
"243",1,3,2011,0,0,0
"244",1,4,2011,0,0,0
"245",1,5,2011,1,2,4
"246",1,6,2011,0,0,0
"247",1,7,2011,0,0,0
"248",1,8,2011,1,2,2
"249",1,9,2011,1,2,2
"250",1,10,2011,0,0,0
"251",1,11,2011,0,0,0
