"","Date","temp","snow","Area","TerritoryID"
"1",1990-01-01,-19.2,57.7,1,1
"2",1990-01-02,-19.6,57.3,1,1
"3",1990-01-03,-16.6,56.9,1,1
"4",1990-01-04,-11.6,56.6,1,1
"5",1990-01-05,-9.8,57.2,1,1
"6",1990-01-06,-8.4,56.6,1,1
"7",1990-01-07,-5,58,1,1
"8",1990-01-08,-4.3,58,1,1
"9",1990-01-09,-5.1,57.4,1,1
"10",1990-01-10,-4.8,58.8,1,1
"11",1990-01-11,-3.6,62.6,1,1
"12",1990-01-12,-1.4,61.7,1,1
"13",1990-01-13,-1.8,60.9,1,1
"14",1990-01-14,-4.2,60.3,1,1
"15",1990-01-15,-3.5,67.1,1,1
"16",1990-01-16,-3.2,68.5,1,1
"17",1990-01-17,-3.6,72.1,1,1
"18",1990-01-18,-4.2,84.6,1,1
"19",1990-01-19,-6.9,83,1,1
"20",1990-01-20,-6.8,85,1,1
"21",1990-01-21,-5.3,83.4,1,1
"22",1990-01-22,-4,82.3,1,1
"23",1990-01-23,-3.5,81.1,1,1
"24",1990-01-24,-5.5,88.2,1,1
"25",1990-01-25,-8.8,87,1,1
"26",1990-01-26,-10.2,91.1,1,1
"27",1990-01-27,-9.3,89.9,1,1
"28",1990-01-28,-9.8,88.8,1,1
"29",1990-01-29,-8.4,97.6,1,1
"30",1990-01-30,-6.5,99.7,1,1
"31",1990-01-31,-4.2,102.2,1,1
"32",1990-02-01,-2.4,114.6,1,1
"33",1990-02-02,-2.8,114,1,1
"34",1990-02-03,-3.8,117.8,1,1
"35",1990-02-04,-4.5,115.3,1,1
"36",1990-02-05,-2,114,1,1
"37",1990-02-06,1.2,110.5,1,1
"38",1990-02-07,0.6,107.5,1,1
"39",1990-02-08,-3.6,112.7,1,1
"40",1990-02-09,-5.6,111.1,1,1
"41",1990-02-10,-4.4,110.2,1,1
"42",1990-02-11,-3.9,110.6,1,1
"43",1990-02-12,-5.4,114.7,1,1
"44",1990-02-13,-6.6,116.6,1,1
"45",1990-02-14,-6.8,116.9,1,1
"46",1990-02-15,-10,115.9,1,1
"47",1990-02-16,-11.8,115.1,1,1
"48",1990-02-17,-9.8,114.4,1,1
"49",1990-02-18,-8.3,117.2,1,1
"50",1990-02-19,-4.9,119.1,1,1
"51",1990-02-20,-2.8,125.2,1,1
"52",1990-02-21,-1.9,127.2,1,1
"53",1990-02-22,-3.6,125.9,1,1
"54",1990-02-23,-0.6,124.5,1,1
"55",1990-02-24,0.2,127.4,1,1
"56",1990-02-25,-2.8,133.7,1,1
"57",1990-02-26,-4.3,135.6,1,1
"58",1990-02-27,-5.2,136.8,1,1
"59",1990-02-28,-8.2,135.6,1,1
"60",1990-03-01,-8.6,135.7,1,1
"61",1990-03-02,-11.2,134.8,1,1
"62",1990-03-03,-13,134,1,1
"63",1990-03-04,-6.2,133.8,1,1
"64",1990-03-05,-4.2,140,1,1
"65",1990-03-06,-7,145.1,1,1
"66",1990-03-07,-10.5,143.9,1,1
"67",1990-03-08,-7,148.6,1,1
"68",1990-03-09,-6.3,149.5,1,1
"69",1990-03-10,-10,150.2,1,1
"70",1990-03-11,-8.2,148.8,1,1
"71",1990-03-12,-5.8,156.7,1,1
"72",1990-03-13,-9,155.1,1,1
"73",1990-03-14,-9.8,156,1,1
"74",1990-03-15,-3.8,154.1,1,1
"75",1990-03-16,-0.2,156.7,1,1
"76",1990-03-17,1,153.2,1,1
"77",1990-03-18,3,147.9,1,1
"78",1990-03-19,3.4,142.5,1,1
"79",1990-03-20,-2.2,141.2,1,1
"80",1990-03-21,-4.1,142.8,1,1
"81",1990-03-22,-2.5,144.5,1,1
"82",1990-03-23,-4.8,149.8,1,1
"83",1990-03-24,-3.9,148.6,1,1
"84",1990-03-25,-4.8,153,1,1
"85",1990-03-26,-4,151.5,1,1
"86",1990-03-27,-6,150.3,1,1
"87",1990-03-28,-6,149.2,1,1
"88",1990-03-29,-4.3,148.1,1,1
"89",1990-03-30,-3.1,147,1,1
"90",1990-03-31,-0.9,145.9,1,1
"91",1990-04-01,1,143.3,1,1
"92",1990-04-02,-0.5,142.3,1,1
"93",1990-04-03,-2.8,149.1,1,1
"94",1990-04-04,-7.1,153,1,1
"95",1990-04-05,-10.3,152.2,1,1
"96",1990-04-06,-8.1,152.9,1,1
"97",1990-04-07,-10.4,152.2,1,1
"98",1990-04-08,-12.8,151.6,1,1
"99",1990-04-09,-8.3,150.9,1,1
"100",1990-04-10,-4,150.1,1,1
"101",1990-04-11,-4.3,150.4,1,1
"102",1990-04-12,-3.8,149.7,1,1
"103",1990-04-13,-3,149,1,1
"104",1990-04-14,-2.8,148.3,1,1
"105",1990-04-15,-2.9,155.6,1,1
"106",1990-04-16,-3.6,159.7,1,1
"107",1990-04-17,-5.5,161.4,1,1
"108",1990-04-18,-5.4,161.6,1,1
"109",1990-04-19,-4.1,162.1,1,1
"110",1990-04-20,-2.4,161.2,1,1
"111",1990-04-21,-0.9,160.4,1,1
"112",1990-04-22,-0.1,159.5,1,1
"113",1990-04-23,1.2,156.6,1,1
"114",1990-04-24,0.5,154.9,1,1
"115",1990-04-25,0.2,153.5,1,1
"116",1990-04-26,0.9,151.3,1,1
"117",1990-04-27,-2.8,150.7,1,1
"118",1990-04-28,-5.9,150.2,1,1
"119",1990-04-29,-2.1,149.6,1,1
"120",1990-04-30,1.7,146.2,1,1
"121",1990-05-01,2.5,142,1,1
"122",1990-05-02,4.7,136.8,1,1
"123",1990-05-03,5.8,131,1,1
"124",1990-05-04,5.9,125.3,1,1
"125",1990-05-05,5.4,119.7,1,1
"126",1990-05-06,4.5,114.7,1,1
"127",1990-05-07,5,109.5,1,1
"128",1990-05-08,5.1,104.3,1,1
"129",1990-05-09,5.1,99.2,1,1
"130",1990-05-10,6.2,93.3,1,1
"131",1990-05-11,5.4,88,1,1
"132",1990-05-12,3.7,83.5,1,1
"133",1990-05-13,3.1,79.3,1,1
"134",1990-05-14,3.9,74.6,1,1
"135",1990-05-15,4.6,69.7,1,1
"136",1990-05-16,3.4,65.6,1,1
"137",1990-05-17,1.6,62.9,1,1
"138",1990-05-18,0.6,61.7,1,1
"139",1990-05-19,-0.2,61.6,1,1
"140",1990-05-20,0.8,60.2,1,1
"141",1990-05-21,1.4,57.8,1,1
"142",1990-05-22,0.4,57.2,1,1
"143",1990-05-23,0.1,56.8,1,1
"144",1990-05-24,0,57.1,1,1
"145",1990-05-25,-0.6,57,1,1
"146",1990-05-26,-3.1,56.9,1,1
"147",1990-05-27,-3.8,56.8,1,1
"148",1990-05-28,-0.9,56.7,1,1
"149",1990-05-29,1.9,53.6,1,1
"150",1990-05-30,3.1,50,1,1
"151",1990-05-31,4,46.1,1,1
"152",1990-06-01,4.6,42.2,1,1
"153",1990-06-02,4,38.6,1,1
"154",1990-06-03,4.2,35.3,1,1
"155",1990-06-04,3.5,32.2,1,1
"156",1990-06-05,3.5,29.4,1,1
"157",1990-06-06,6.4,25.9,1,1
"158",1990-06-07,7.1,22.4,1,1
"159",1990-06-08,6.2,19.4,1,1
"160",1990-06-09,5.6,16.6,1,1
"161",1990-06-10,8.6,13.6,1,1
"162",1990-06-11,9,10.8,1,1
"163",1990-06-12,8.9,8.3,1,1
"164",1990-06-13,9,6,1,1
"165",1990-06-14,8.9,4.3,1,1
"166",1990-06-15,8.5,2.8,1,1
"167",1990-06-16,8.6,1.5,1,1
"168",1990-06-17,8.2,0.8,1,1
"169",1990-06-18,5.6,0.3,1,1
"170",1990-06-19,4,0,1,1
"171",1990-06-20,5.6,0,1,1
"172",1990-06-21,8.5,0,1,1
"173",1990-06-22,6.2,0,1,1
"174",1990-06-23,5.8,0,1,1
"175",1990-06-24,4.7,0,1,1
"176",1990-06-25,5.2,0,1,1
"177",1990-06-26,5.2,0,1,1
"178",1990-06-27,4,0,1,1
