OmradeNavn,OmrNr,Year,OmrNr_temp,Lengde,LinjeNavn,Kommentar,OmradeNavn_New,LinjeNavn_New,LinNavn
Åmotsdalen,3,1991,7,6.3,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,1992,7,6.3,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,1993,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,1994,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,1995,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,1996,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,1997,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,1998,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,1999,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2000,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2001,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2002,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2003,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2004,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2005,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2006,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2007,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2008,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2009,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2010,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2011,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2012,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2013,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,2014,7,8,Linje1,NA,Åmotsdalen,Linje1,Aamot1
Åmotsdalen,3,1991,7,7,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,1992,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,1993,7,7,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,1994,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,1995,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,1996,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,1997,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,1998,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,1999,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2000,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2001,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2002,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2003,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2004,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2005,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2006,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2007,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2008,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2009,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2010,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2011,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2012,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2013,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
Åmotsdalen,3,2014,7,9,Linje2,NA,Åmotsdalen,Linje2,Aamot2
