id,measurementID,measurementType,measurementValue,measurementUnit
30CEF04C-0772-4959-A5D8-022EDD75A0E9,67326,Perpendicular distance from transect line as reported by the field worker,73,m
8B4895DA-57F7-401A-BD31-03486F5ADA5B,67345,Perpendicular distance from transect line as reported by the field worker,104,m
7E9E90CC-5EA9-43DF-815B-0444397CCE2C,33234,Perpendicular distance from transect line as reported by the field worker,54,m
281EEACD-9508-4F0F-B5A3-0552C90051FA,76513,Perpendicular distance from transect line as reported by the field worker,96,m
F90885D2-E0CD-44B5-8660-062CCC8F67D5,67342,Perpendicular distance from transect line as reported by the field worker,0,m
FD6700FB-00CC-4D1A-9C93-0BBA3B807F9C,67282,Perpendicular distance from transect line as reported by the field worker,36,m
15D2A373-1B9B-4719-A2F5-0EF9BB76D583,36663,Perpendicular distance from transect line as reported by the field worker,13,m
B5F25277-811A-45BF-A478-0F4CBF14F2AF,76563,Perpendicular distance from transect line as reported by the field worker,32,m
11C82E72-730C-4523-A227-10268CB32AF2,67299,Perpendicular distance from transect line as reported by the field worker,174,m
9A138638-3C0B-4C15-9701-122717157690,48857,Perpendicular distance from transect line as reported by the field worker,104,m
7CA30CCE-F105-4E31-AA7F-135AA2574E59,67280,Perpendicular distance from transect line as reported by the field worker,29,m
2B133FBD-6392-4F23-BCAD-1B937592CBE8,67434,Perpendicular distance from transect line as reported by the field worker,30,m
81E63CFD-CB2A-4C57-A5B7-1E1BB70EE9C3,48610,Perpendicular distance from transect line as reported by the field worker,47,m
63948AB8-6604-4181-8482-1EF0FA0D1716,36657,Perpendicular distance from transect line as reported by the field worker,228,m
5495E0B9-689D-4D5D-889C-2046D2A2083E,67433,Perpendicular distance from transect line as reported by the field worker,10,m
F7973E36-C7B9-408C-8056-22E5BC056076,68418,Perpendicular distance from transect line as reported by the field worker,54,m
77BBF9B5-5629-4340-8969-23C2480EE251,48606,Perpendicular distance from transect line as reported by the field worker,12,m
28C58171-2749-4BDE-AE6D-23D1464DE741,76360,Perpendicular distance from transect line as reported by the field worker,15,m
7D768948-97C2-4FE6-9204-255D4937DD80,67572,Perpendicular distance from transect line as reported by the field worker,52,m
96C8BB90-6ED5-4847-B3AD-26113611762C,36667,Perpendicular distance from transect line as reported by the field worker,81,m
2F7579D2-40B9-4A45-8C7D-263B9577EA3B,36664,Perpendicular distance from transect line as reported by the field worker,23,m
694AF654-0E55-4A02-A45D-2900806C02D6,67298,Perpendicular distance from transect line as reported by the field worker,140,m
73955E8E-51E8-4062-BE1C-2994C490D8D0,76404,Perpendicular distance from transect line as reported by the field worker,8,m
ABEE0139-667F-455E-B9B8-2CAAD5B48AB0,31441,Perpendicular distance from transect line as reported by the field worker,119,m
4BDE6C61-EFCA-4BC6-92A2-2CB3CBA3E411,33236,Perpendicular distance from transect line as reported by the field worker,133,m
8497981F-8D18-4215-98C2-3033CF08EE88,67301,Perpendicular distance from transect line as reported by the field worker,175,m
