"","eventID","sex","lifeStage","individualCount","scientificName","kingdom","phylum","class","order","genus","specificEpithet","occurrenceID"
"1","dd5f8e4c-3629-47af-a0ec-e6cf76382a85","Adult","unknown",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","36e9498f-771e-4cc3-adce-7def8daa281f"
"2","be888372-5427-4aad-b8b2-269069685b14","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","7f419645-3dab-4203-933c-8cf20ebecbe9"
"3","be888372-5427-4aad-b8b2-269069685b14","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","01058532-1e30-428b-8872-5ef236d50735"
"4","be888372-5427-4aad-b8b2-269069685b14","Juvenile","unknown",2,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","f96bd058-ceef-429c-a926-d1692ba52904"
"5","02f9872f-c02c-4ce3-b45f-d5687775267b","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","f7f72d69-ac6d-439e-bdf6-4499291fefac"
"6","02f9872f-c02c-4ce3-b45f-d5687775267b","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","cb59535d-3f9e-4a80-a5bd-5b4a548c266c"
"7","d2f40b35-9994-4310-9419-bc520f3fe833","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","ea29c9e7-5234-4451-8e2d-0321d73097fa"
"8","d2f40b35-9994-4310-9419-bc520f3fe833","Adult","Female",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","2bfb9f4b-985e-4f5c-8890-8d4e81ba8397"
"9","d2f40b35-9994-4310-9419-bc520f3fe833","Juvenile","unknown",4,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","0a682ef6-be95-4389-b706-035a3cbc357e"
"10","b9f06081-3674-4141-bb73-ee54b8ff0b35","Adult","Male",2,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","e7e030fc-cb05-4b38-833f-844ae8541f09"
"11","b9f06081-3674-4141-bb73-ee54b8ff0b35","Adult","unknown",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","212f0d6f-f0a2-47d5-9377-13e37ea683cb"
"12","4bc0896d-e1dc-40bb-b2f7-c4274b72684b","Adult","Male",1,"Lagopus lagopus","Animalia","Chordata","Aves","Galliformes","Lagopus","lagopus","0864466a-c5d2-4cd8-8203-b676a9b7bd64"
