Omrade,Omrnr,Linjenr,Linjenr_2,Aar,Dato,Dato_,Kl,Refnr,Adhann,Adhunn,Adubest,Kyll,Kyll_2,Ubest,Kyllald,Art,Kalktot,Linjeavst,Linjeavst_2,Flavst,RepTax,Stokk,Merknader
Børgefjell,2,1,1,1990,1990-08-05T22:00:00Z,6.8.,1899-12-30T11:05:00Z,2,0,0,1,0,0,0,NA,1,1,20,20,10,1,NA,Linje b
Børgefjell,2,1,1,1990,1990-08-05T22:00:00Z,6.8.,1899-12-30T13:50:00Z,3,1,1,0,2,2,0,NA,1,4,40,40,5,1,NA,Linje b
Børgefjell,2,1,1,1990,1990-08-05T22:00:00Z,6.8.,1899-12-30T14:45:00Z,4,1,1,0,0,0,0,NA,1,2,80,80,8,1,NA,Linje b. Hadde trolig kyllinger
Børgefjell,2,1,1,1990,1990-08-06T22:00:00Z,7.8.,1899-12-30T13:45:00Z,1,1,1,0,4,4,0,Små,1,6,40,40,5,1,NA,Linje 1 a
Børgefjell,2,1,1,1990,1990-08-06T22:00:00Z,7.8.,1899-12-30T14:07:00Z,2,2,0,1,0,0,0,NA,1,3,30,30,5,1,NA,Linje 1 a
Børgefjell,2,3,3,1990,1990-08-25T22:00:00Z,26.8.,1899-12-30T10:40:00Z,1,1,1,0,0,0,0,NA,1,2,20,20,3,1,NA,NA
Børgefjell,2,3,3,1990,1990-08-25T22:00:00Z,26.8.,1899-12-30T11:20:00Z,2,1,1,0,3,3,0,NA,1,5,20,20,2,1,NA,NA
Børgefjell,2,3,3,1990,1990-08-25T22:00:00Z,26.8.,1899-12-30T13:10:00Z,3,1,0,0,0,0,0,NA,1,1,30,30,1,1,NA,NA
Børgefjell,2,3,3,1990,1990-08-25T22:00:00Z,26.8.,1899-12-30T15:00:00Z,4,0,0,3,0,0,0,NA,1,3,50,50,10,1,NA,NA
Åmotsdalen,3,1,1,1991,1991-08-15T22:00:00Z,16.8.,1899-12-30T14:30:00Z,1,1,1,0,6,6,0,Store,1,8,0,0,10,1,NA,NA
Åmotsdalen,3,1,1,1991,1991-08-15T22:00:00Z,16.8.,1899-12-30T15:20:00Z,2,1,1,0,7,7,0,Middels,1,9,200,200,5,1,NA,NA
Åmotsdalen,3,1,1,1991,1991-08-15T22:00:00Z,16.8.,1899-12-30T16:00:00Z,3,1,0,0,1,1,0,Små,1,2,30,30,5,1,NA,NA
Åmotsdalen,3,1,1,1991,1991-08-15T22:00:00Z,16.8.,1899-12-30T16:35:00Z,4,0,1,0,5,5,0,Middels,1,6,10,10,10,1,NA,NA
Åmotsdalen,3,1,1,1991,1991-08-15T22:00:00Z,16.8.,1899-12-30T17:05:00Z,5,0,0,0,3,3,0,Små,1,3,50,50,0,1,NA,NA
Børgefjell,2,1,1,1991,1991-08-20T22:00:00Z,21.8.,1899-12-30T08:30:00Z,1,1,0,0,4,4,0,Store,1,5,50,50,20,1,NA,Linje a
Børgefjell,2,1,1,1991,1991-08-20T22:00:00Z,21.8.,1899-12-30T10:00:00Z,2,1,1,0,4,4,0,Små,1,6,20,20,5,1,NA,Linje a
Børgefjell,2,1,1,1991,1991-08-20T22:00:00Z,21.8.,1899-12-30T10:05:00Z,3,1,0,0,1,1,0,Store,1,2,20,20,20,1,NA,Linje a
Børgefjell,2,1,1,1991,1991-08-20T22:00:00Z,21.8.,1899-12-30T10:30:00Z,4,1,1,0,4,4,0,Middels,1,6,10,10,5,1,NA,Linje a
Børgefjell,2,1,1,1991,1991-08-20T22:00:00Z,21.8.,1899-12-30T10:35:00Z,5,1,1,0,5,5,0,Små,1,7,0,0,10,1,NA,Linje a. Mulig flere
Børgefjell,2,1,1,1991,1991-08-20T22:00:00Z,21.8.,1899-12-30T10:40:00Z,6,1,1,0,7,7,0,Små,1,9,15,15,5,1,NA,Linje a
Børgefjell,2,1,1,1991,1991-08-21T22:00:00Z,22.8.,1899-12-30T08:30:00Z,1,1,1,0,1,1,0,Middels,1,3,50,50,NA,1,NA,Linje b. Sansynligvis flere
Børgefjell,2,1,1,1991,1991-08-21T22:00:00Z,22.8.,1899-12-30T10:20:00Z,2,1,1,0,1,1,0,NA,1,3,100,100,5,1,NA,Linje b. Sansynligvis flere
Børgefjell,2,1,1,1991,1991-08-21T22:00:00Z,22.8.,1899-12-30T12:00:00Z,3,0,0,1,0,0,0,NA,1,1,30,30,3,1,NA,Linje b. 
Børgefjell,2,1,1,1991,1991-08-21T22:00:00Z,22.8.,1899-12-30T13:30:00Z,4,1,1,0,0,0,0,NA,1,2,40,40,NA,1,Støkk,Linje b. Sansynligvis flere
Børgefjell,2,1,1,1991,1991-08-21T22:00:00Z,22.8.,1899-12-30T16:30:00Z,5,1,0,0,2,2,0,Store,1,3,20,20,5,1,NA,Linje b. 
Børgefjell,2,2,2,1991,1991-08-22T22:00:00Z,23.8.,1899-12-30T08:05:00Z,1,0,1,0,5,5,0,Store,1,6,20,20,5,1,NA,NA
Børgefjell,2,2,2,1991,1991-08-22T22:00:00Z,23.8.,1899-12-30T09:15:00Z,2,1,1,0,0,0,0,NA,1,2,40,40,2,1,NA,NA
Børgefjell,2,2,2,1991,1991-08-22T22:00:00Z,23.8.,1899-12-30T10:35:00Z,3,1,0,0,5,5,0,Store,1,6,0,0,2,1,NA,NA
Børgefjell,2,2,2,1991,1991-08-22T22:00:00Z,23.8.,1899-12-30T10:35:00Z,4,1,0,0,0,0,0,NA,1,1,30,30,NA,1,NA,NA
Børgefjell,2,2,2,1991,1991-08-22T22:00:00Z,23.8.,1899-12-30T13:30:00Z,5,0,1,0,4,4,0,Store,1,5,70,70,5,1,NA,NA
Møsvatn,5,1,1,1992,1992-08-04T22:00:00Z,5.8.,1899-12-30T08:40:00Z,1,1,1,0,3,3,0,NA,1,8,20,20,2,1,NA,NA
Møsvatn,5,1,1,1992,1992-08-04T22:00:00Z,5.8.,1899-12-30T09:10:00Z,2,1,1,0,0,0,0,NA,1,2,0,0,5,1,NA,NA
Møsvatn,5,1,1,1992,1992-08-04T22:00:00Z,5.8.,1899-12-30T09:35:00Z,3,1,1,0,1,1,0,NA,1,3,100,100,1,1,Støkk,Trolig flere kyllinger
Møsvatn,5,1,1,1992,1992-08-04T22:00:00Z,5.8.,1899-12-30T10:05:00Z,4,1,1,0,7,7,0,NA,1,9,50,50,1,1,Støkk,NA
Møsvatn,5,1,1,1992,1992-08-04T22:00:00Z,5.8.,1899-12-30T10:30:00Z,5,3,0,1,0,0,0,NA,1,4,0,0,2,1,NA,NA
