"","Area","Year","Median","lCI","uCI"
"2.5%","Hardangervidda",1991,10.0842584523618,6.70362052616667,14.6197249725684
"2.5%1","Hardangervidda",1992,26.7827337639692,18.307260368423,36.8114202849589
"2.5%2","Hardangervidda",1993,30.5461760632088,21.7590319477551,40.8627616152689
"2.5%3","Hardangervidda",1994,17.2162879571727,12.615130402532,22.9079014961612
"2.5%4","Hardangervidda",1995,9.76241577826276,7.08157084407515,13.0003716042542
"2.5%5","Hardangervidda",1996,6.24470152796106,4.427757381445,8.6064021115998
"2.5%6","Hardangervidda",1997,7.42306652940732,5.35779771300801,10.1756181744067
"2.5%7","Hardangervidda",1998,7.17144754105617,5.27321300737842,9.66747207471107
"2.5%8","Hardangervidda",1999,5.25937321228043,3.78931329028198,7.19538399274221
"2.5%9","Hardangervidda",2000,5.48918388128112,3.90408441461306,7.80838228467763
"2.5%10","Hardangervidda",2001,8.68060076744114,6.28044629553782,12.0187907176945
"2.5%11","Hardangervidda",2002,12.5554902306767,9.18661041569838,16.7450915922034
"2.5%12","Hardangervidda",2003,12.0178068781825,8.90826248425417,15.7634852775535
"2.5%13","Hardangervidda",2004,14.9027070197952,11.1307401048655,19.3548862092191
"2.5%14","Hardangervidda",2005,18.6557348639831,14.0308216393527,24.445052220288
"2.5%15","Hardangervidda",2006,14.5067287548928,10.8741608051818,18.872130732597
"2.5%16","Hardangervidda",2007,6.98477189728969,5.1334794927739,9.42815254185276
"2.5%17","Hardangervidda",2008,6.11700151137306,4.48240894295511,8.22087072123873
"2.5%18","Hardangervidda",2009,5.33002886596822,3.9258090056717,7.27820293351184
"2.5%19","Hardangervidda",2010,5.3003442942235,3.9261225236812,7.09375818210701
"2.5%20","Hardangervidda",2011,6.11049617176298,4.60579004252021,8.15319905301159
"2.5%21","Hardangervidda",2012,6.53597174101214,4.97840392142159,8.66902553602509
"2.5%22","Hardangervidda",2013,7.84881556253167,6.22655625759572,10.0704083435475
"2.5%23","Hardangervidda",2014,8.79561169575026,7.13659329527798,10.7762957009999
"2.5%24","Hardangervidda",2015,8.90752175344597,7.35549705100222,10.7177012477044
"2.5%25","Hardangervidda",2016,21.25335450512,17.3216775708588,25.6720864162328
"2.5%26","Hardangervidda",2017,35.4516028400953,28.7220256966721,42.7922290573234
"2.5%27","Hardangervidda",2018,41.5215615293693,33.1015488256567,50.7587867814379
"2.5%28","Hardangervidda",2019,29.3060418236085,23.10613648423,36.5330946930183
"2.5%29","Hardangervidda",2020,12.8828404982408,10.0085165694902,16.6440766313472
"2.5%30","Dovrefjell",1991,17.5967120869636,10.112769948463,30.1523374701825
"2.5%31","Dovrefjell",1992,10.7539293811886,6.45896631172277,17.5008010463807
"2.5%32","Dovrefjell",1993,11.4093739297855,7.0701490255378,18.3016633122922
"2.5%33","Dovrefjell",1994,11.8489283738785,7.52976956857653,18.774746868139
"2.5%34","Dovrefjell",1995,17.7838992996668,11.6224759501487,27.7825298079405
"2.5%35","Dovrefjell",1996,13.7712255279098,9.34737039139508,21.1486770740294
"2.5%36","Dovrefjell",1997,14.7403587375566,10.2659707311161,21.8322513765507
"2.5%37","Dovrefjell",1998,18.1842095321955,12.8309688536554,26.6906838319903
"2.5%38","Dovrefjell",1999,22.8007026815864,16.17394789961,33.1183279644426
"2.5%39","Dovrefjell",2000,24.62761494764,17.8167783137216,35.0888940469813
"2.5%40","Dovrefjell",2001,28.6370838880457,20.3859300605402,40.6493930511788
"2.5%41","Dovrefjell",2002,34.0820937794377,24.8799009836833,48.0960170668302
"2.5%42","Dovrefjell",2003,28.6805644674707,20.93627453428,40.1323826269665
"2.5%43","Dovrefjell",2004,21.2617325691798,15.4696590030417,29.825915377434
"2.5%44","Dovrefjell",2005,23.2250574777561,16.6367458498212,32.8477125369717
"2.5%45","Dovrefjell",2006,17.7183336742671,12.8252511359971,24.7614152057193
"2.5%46","Dovrefjell",2007,25.4427419543957,18.6595976907134,35.8119287206365
"2.5%47","Dovrefjell",2008,19.8173983510667,14.6691074163755,27.4005847380192
"2.5%48","Dovrefjell",2009,19.161308296779,14.1742790791615,26.5508862439175
"2.5%49","Dovrefjell",2010,23.3428651455545,17.3885480958756,31.9480533545779
"2.5%50","Dovrefjell",2011,22.0231215495562,16.5649354667034,29.5984975513483
"2.5%51","Dovrefjell",2012,21.7818537711574,16.6863068560771,28.9484353846847
"2.5%52","Dovrefjell",2013,22.3888119101414,17.4067648973698,29.1238914769094
"2.5%53","Dovrefjell",2014,23.0954690956081,18.521032160202,28.8469789857286
"2.5%54","Dovrefjell",2015,18.5173425447295,15.1262509556293,22.5950354658197
"2.5%55","Dovrefjell",2016,18.2411429973641,15.2741813067568,21.6487688315887
"2.5%56","Dovrefjell",2017,20.7813181200436,17.7741246682319,24.3258441386737
"2.5%57","Dovrefjell",2018,27.88996890072,23.6399115470455,32.8398200250001
"2.5%58","Dovrefjell",2019,25.4919798966219,20.9489472125419,30.5582155975809
"2.5%59","Dovrefjell",2020,24.4007288808639,19.0553613334723,30.8641311667625
"2.5%60","Børgefjell",1991,24.7547197489705,15.972026786545,41.9036625544972
"2.5%61","Børgefjell",1992,40.9878162509136,27.5982699636441,66.4325151729584
"2.5%62","Børgefjell",1993,46.1392615825709,31.9801914369463,75.270400099007
"2.5%63","Børgefjell",1994,42.4807595519477,29.4805384861435,68.780726636125
"2.5%64","Børgefjell",1995,28.5924931878266,19.9422888696136,45.7588312708598
"2.5%65","Børgefjell",1996,18.8574035113292,13.1460487243276,30.5148215015621
"2.5%66","Børgefjell",1997,35.2007236345883,24.8055802493341,55.5873340301358
"2.5%67","Børgefjell",1998,59.0607818873292,41.9086325723093,92.3283834598125
"2.5%68","Børgefjell",1999,50.9132321032218,36.2716406936289,79.5647205069903
"2.5%69","Børgefjell",2000,42.1687048308182,30.0460289661554,66.3487177097389
"2.5%70","Børgefjell",2001,53.0328774131024,37.6829985693921,83.3826573370379
"2.5%71","Børgefjell",2002,42.7653156502403,30.5747531892066,66.8639611875675
"2.5%72","Børgefjell",2003,30.4426552964176,21.3470931046609,48.3663942626334
"2.5%73","Børgefjell",2004,27.0045356104933,18.8574268995082,43.1952557793243
"2.5%74","Børgefjell",2005,14.7470786043282,9.88052977102206,24.3664485425859
"2.5%75","Børgefjell",2006,8.57923535874338,5.6588348626055,14.2537362442517
"2.5%76","Børgefjell",2007,12.3124580607505,8.24658969720051,20.1554227851193
"2.5%77","Børgefjell",2008,6.79657709792172,4.48639889385682,11.2514084626842
"2.5%78","Børgefjell",2009,9.54896663691334,6.30957748485574,15.7786366487376
"2.5%79","Børgefjell",2010,10.692026221357,7.2995725132987,17.1082377227939
"2.5%80","Børgefjell",2011,15.2536382833517,10.5456166339043,24.2616326699183
"2.5%81","Børgefjell",2012,7.25996692443269,5.09760432667247,11.3630538426573
"2.5%82","Børgefjell",2013,5.29668194007867,3.66509346694451,8.04396065127024
"2.5%83","Børgefjell",2014,7.51068005909303,5.35796185056597,10.8222494848267
"2.5%84","Børgefjell",2015,7.17220158051333,5.16543836492864,9.93707754737124
"2.5%85","Børgefjell",2016,8.99733539609013,6.55540657634803,12.1782562295511
"2.5%86","Børgefjell",2017,10.5917089139905,8.0026795505478,13.8415550796724
"2.5%87","Børgefjell",2018,17.7060155951294,13.5694139191006,22.7793471597826
"2.5%88","Børgefjell",2019,20.0503583361538,15.1409227339749,26.1274751894271
